dataset,arch_id,arch_flag,exp,beta,reg,seed,min_val_elbo_bpd,final_val_elbo_bpd,ood_val_elbo_bpd,obs,scaled,shear,shift,swel,thic,thin
mnist,conv3,0,2.15.5,1.0,0.0.0.0,0,0.1798022522693525,0.1810204536851949,,0.0625930577516555,0.1727649122476577,0.1124195158481597,0.1089330166578292,0.1086456626653671,0.1944309771060943,0.1476746499538421
mnist,conv3,0,2.15.5,1.0,0.0.0.0,1,0.1804835439222788,0.1809492877935446,,0.0688135400414466,0.200385108590126,0.1069806069135665,0.1243635192513465,0.1097571700811386,0.1947630941867828,0.1115476787090301
mnist,conv3,0,2.15.5,1.0,0.0.0.0,2,0.1811520039222971,0.1822578967689949,,0.0752728730440139,0.1626632660627365,0.0984473824501037,0.1005511060357093,0.1044853180646896,0.2045388519763946,0.1117532104253768
mnist,conv3,0,2.15.5,1.0,0.0.0.0,3,0.1802742048600173,0.1802742048600173,,0.0633150711655616,0.1767147481441497,0.102831020951271,0.1088209375739097,0.092566929757595,0.1694981455802917,0.1673513799905777
mnist,conv3,0,2.15.5,1.0,0.0.0.0,4,0.1807653176876683,0.1820371647864983,,0.065904326736927,0.1829889118671417,0.1018690392374992,0.1090129092335701,0.0963257327675819,0.2169747501611709,0.1257678717374801
mnist,conv3,1,2.15.5,1.0,0.0.0.0,0,0.2023614620589299,0.2227802148221196,,0.0838436260819435,0.1392970085144043,0.1115190312266349,0.1152993440628051,0.135630190372467,0.2538357973098755,0.0986998528242111
mnist,conv3,1,2.15.5,1.0,0.0.0.0,1,0.2065288579350868,0.2130619905218971,,0.0915490910410881,0.1269453018903732,0.1157219111919403,0.1165527924895286,0.1495037525892257,0.2537398338317871,0.086231842637062
mnist,conv3,1,2.15.5,1.0,0.0.0.0,2,0.1986139533392319,0.2083599611657382,,0.0865985825657844,0.1332704424858093,0.1049964278936386,0.1064842492341995,0.1329065263271331,0.227622240781784,0.1173240691423416
mnist,conv3,1,2.15.5,1.0,0.0.0.0,3,0.1989040170301494,0.2078890333482992,,0.0887576565146446,0.1267527490854263,0.1098443567752838,0.1177900061011314,0.130839467048645,0.2408354729413986,0.1109747439622879
mnist,conv3,1,2.15.5,1.0,0.0.0.0,4,0.1987705919478114,0.2161527397689877,,0.0738197788596153,0.1823828369379043,0.101955659687519,0.1194420456886291,0.0957621857523918,0.1809682548046112,0.1209091693162918
mnist,conv3,2,2.15.5,1.0,0.0.0.0,0,0.2282310212293547,0.2439666217087298,,0.0889497548341751,0.0614503771066665,0.1074501499533653,0.0975633859634399,0.1135511025786399,0.1623096913099289,0.0664007067680358
mnist,conv3,2,2.15.5,1.0,0.0.0.0,1,0.2452992907375255,0.265112384129928,,0.1036842465400695,0.0605695359408855,0.1300775110721588,0.1244006976485252,0.1334784179925918,0.1839524060487747,0.0552933476865291
mnist,conv3,2,2.15.5,1.0,0.0.0.0,2,0.2429674605199559,0.2591001514768719,,0.079670637845993,0.0709104314446449,0.1036150380969047,0.1022030785679817,0.1038588806986808,0.1612060815095901,0.0790174081921577
mnist,conv3,2,2.15.5,1.0,0.0.0.0,3,0.2428948563884051,0.2719144532393714,,0.1084931343793869,0.0570841580629348,0.1228296309709549,0.1163797006011009,0.1366459727287292,0.1850213855504989,0.0584123432636261
mnist,conv3,2,2.15.5,1.0,0.0.0.0,4,0.2498898994903719,0.2541650227355619,,0.1123462989926338,0.0581107027828693,0.1332765072584152,0.1233387514948844,0.1418533325195312,0.1975942999124527,0.0596731640398502
