dataset,arch_id,arch_flag,exp,beta,reg,seed,min_val_elbo_bpd,final_val_elbo_bpd,ood_val_elbo_bpd,obs,scaled,shear,shift,swel,thic,thin
mnist,conv3,2,2.15.5,0.5,0.0.0.0,0,0.2051621716960158,0.2206051652742165,,0.0869773179292678,0.0688864663243293,0.1093225628137588,0.1074138209223747,0.1120038107037544,0.1806588917970657,0.079909548163414
mnist,conv3,2,2.15.5,0.5,0.0.0.0,1,0.2232110342978777,0.2296633484815553,,0.0917898565530777,0.0800793692469596,0.1188381612300872,0.1118974238634109,0.1170752942562103,0.1824002563953399,0.0540734566748142
mnist,conv3,2,2.15.5,0.5,0.0.0.0,2,0.210569774060405,0.2214435413509371,,0.074738398194313,0.0955268517136573,0.1004306226968765,0.0955289080739021,0.0890563502907753,0.1732857227325439,0.0839175581932067
mnist,conv3,2,2.15.5,0.5,0.0.0.0,3,0.2101067836871893,0.2249030598262715,,0.0912758857011795,0.0811833813786506,0.1015872359275817,0.1041817367076873,0.1294060796499252,0.2211589962244033,0.0646722242236137
mnist,conv3,2,2.15.5,0.5,0.0.0.0,4,0.2081730800401472,0.215697682913095,,0.0793127790093422,0.0607926286756992,0.1087212041020393,0.1047640964388847,0.1012006103992462,0.152242973446846,0.0621018595993518
mnist,conv3,2,2.15.5,1.0,0.0.0.0,0,0.2282310212293547,0.2439666217087298,,0.0889497548341751,0.0614503771066665,0.1074501499533653,0.0975633859634399,0.1135511025786399,0.1623096913099289,0.0664007067680358
mnist,conv3,2,2.15.5,1.0,0.0.0.0,1,0.2452992907375255,0.265112384129928,,0.1036842465400695,0.0605695359408855,0.1300775110721588,0.1244006976485252,0.1334784179925918,0.1839524060487747,0.0552933476865291
mnist,conv3,2,2.15.5,1.0,0.0.0.0,2,0.2429674605199559,0.2591001514768719,,0.079670637845993,0.0709104314446449,0.1036150380969047,0.1022030785679817,0.1038588806986808,0.1612060815095901,0.0790174081921577
mnist,conv3,2,2.15.5,1.0,0.0.0.0,3,0.2428948563884051,0.2719144532393714,,0.1084931343793869,0.0570841580629348,0.1228296309709549,0.1163797006011009,0.1366459727287292,0.1850213855504989,0.0584123432636261
mnist,conv3,2,2.15.5,1.0,0.0.0.0,4,0.2498898994903719,0.2541650227355619,,0.1123462989926338,0.0581107027828693,0.1332765072584152,0.1233387514948844,0.1418533325195312,0.1975942999124527,0.0596731640398502
mnist,conv3,2,2.15.5,2.0,0.0.0.0,0,0.2776639026159995,0.3033727910154141,,0.1137841492891311,0.0728266611695289,0.1445475071668625,0.12460807710886,0.1504903137683868,0.2298521250486374,0.0646546855568885
mnist,conv3,2,2.15.5,2.0,0.0.0.0,1,0.2840042995300853,0.2917287794848667,,0.0959402322769165,0.0909940153360366,0.1238142624497413,0.1336207538843155,0.1181992962956428,0.1496792286634445,0.0749228671193122
mnist,conv3,2,2.15.5,2.0,0.0.0.0,2,0.2790289760221857,0.2909408036788119,,0.1010225415229797,0.0775426179170608,0.1170495450496673,0.1329084634780883,0.130842387676239,0.1733275800943374,0.0684920325875282
mnist,conv3,2,2.15.5,2.0,0.0.0.0,3,0.2778440819110045,0.3009895185973212,,0.0996879860758781,0.080422505736351,0.116784781217575,0.1170890852808952,0.1237564235925674,0.170114055275917,0.09306101500988
mnist,conv3,2,2.15.5,2.0,0.0.0.0,4,0.2840866440381454,0.3043645803328998,,0.1005878672003746,0.0650428906083107,0.1225627958774566,0.1170421838760376,0.1235963255167007,0.2293144315481186,0.0701663196086883
mnist,conv3,2,2.15.5,4.0,0.0.0.0,0,0.3153132872686403,0.3641269144276017,,0.1132377684116363,0.0798295736312866,0.1226288303732872,0.150639921426773,0.1403929144144058,0.2092709243297577,0.104884035885334
mnist,conv3,2,2.15.5,4.0,0.0.0.0,1,0.3290723368330467,0.3425183799021125,,0.1230465322732925,0.1045759245753288,0.12846639752388,0.1416598856449127,0.142601728439331,0.2054679840803146,0.1349728554487228
mnist,conv3,2,2.15.5,4.0,0.0.0.0,2,0.3108341865652128,0.3243830044895825,,0.0978892669081687,0.0767004489898681,0.1123878881335258,0.1252591907978058,0.1389929503202438,0.1953660547733307,0.1099841520190239
mnist,conv3,2,2.15.5,4.0,0.0.0.0,3,0.3109121200031802,0.3280134216757945,,0.1023426055908203,0.1020447611808776,0.1177219748497009,0.1199306175112724,0.1246721372008323,0.1667615473270416,0.1242569014430046
mnist,conv3,2,2.15.5,4.0,0.0.0.0,4,0.3223169961745831,0.3472655636029358,,0.1024449169635772,0.1285000890493393,0.1060694977641105,0.1133260503411293,0.1215184852480888,0.1816194951534271,0.1113091632723808
