dataset,arch_id,arch_flag,exp,beta,reg,seed,min_val_elbo_bpd,final_val_elbo_bpd,ood_val_elbo_bpd,obs,scaled,shear,shift,swel,thic,thin
mnist,conv3,2,4.15.5,1.0,0.0.0.0,0,0.2639043809398994,0.2775566253252363,,0.0856033414602279,0.0784870907664299,0.1043259277939796,0.1174342855811119,0.1023885235190391,0.1627469211816787,0.0886215195059776
mnist,conv3,2,4.15.5,1.0,0.0.0.0,1,0.2519725346493507,0.2622490150690311,,0.0863908305764198,0.0771547481417656,0.1213279217481613,0.0932873710989952,0.1325618028640747,0.1917346864938736,0.0750201717019081
mnist,conv3,2,4.15.5,1.0,0.0.0.0,2,0.2526606161825203,0.2647910581885496,,0.0797581300139427,0.0608806461095809,0.1003080457448959,0.0985065177083015,0.1041081920266151,0.1520159542560577,0.0779245123267173
mnist,conv3,2,4.15.5,1.0,0.0.0.0,3,0.2517318193088205,0.2625417654650438,,0.0878600925207138,0.0761324241757392,0.1158728897571563,0.1096182838082313,0.0967014953494072,0.1549871563911438,0.06991957873106
mnist,conv3,2,4.15.5,1.0,0.0.0.0,4,0.2576808116038714,0.2947420305890851,,0.1020025610923767,0.0600114874541759,0.1102418825030326,0.1275012642145156,0.1295607835054397,0.2263402044773101,0.0674039721488952
mnist,conv3,2,4.22.5,1.0,0.0.0.0,0,0.2490270468109381,0.2569119255415976,,0.0958108305931091,0.1488467901945114,0.1237163767218589,0.1048427000641822,0.1224923357367515,0.2225746065378189,0.0778658688068389
mnist,conv3,2,4.22.5,1.0,0.0.0.0,1,0.2528060940647504,0.2548235132988107,,0.0820827260613441,0.0992237851023674,0.1151157543063163,0.108325757086277,0.1008252725005149,0.1684165298938751,0.0703940019011497
mnist,conv3,2,4.22.5,1.0,0.0.0.0,2,0.2427679950037395,0.2486767878922448,,0.0853525847196579,0.058313138782978,0.1014374345541,0.0910127386450767,0.1213816776871681,0.1590404510498047,0.0678364112973213
mnist,conv3,2,4.22.5,1.0,0.0.0.0,3,0.2532884769961694,0.2696652429985945,,0.1017750054597854,0.0646146461367607,0.1067321300506591,0.1244713068008422,0.1337224543094635,0.1865188181400299,0.0759775191545486
mnist,conv3,2,4.22.5,1.0,0.0.0.0,4,0.2440409890222527,0.246917036670992,,0.0962557047605514,0.05358112975955,0.1177466213703155,0.1069295555353164,0.1310628652572631,0.1890538483858108,0.0596170574426651
mnist,conv3,2,4.50.5,1.0,0.0.0.0,0,0.2482623327515226,0.2568840764421938,,0.0923531875014305,0.0715914890170097,0.1094018369913101,0.1055769026279449,0.1240708753466606,0.2102984189987182,0.0713720321655273
mnist,conv3,2,4.50.5,1.0,0.0.0.0,1,0.2734114922351125,0.3024872250387506,,0.0868093520402908,0.0870535969734191,0.094045765697956,0.1033115535974502,0.1130039021372795,0.1493986845016479,0.0946156457066536
mnist,conv3,2,4.50.5,1.0,0.0.0.0,2,0.2744878792482045,0.2854484628921624,,0.1010420173406601,0.0807713344693183,0.1157353594899177,0.1012051403522491,0.1139068081974983,0.2047896981239318,0.0755521357059478
mnist,conv3,2,4.50.5,1.0,0.0.0.0,3,0.2672854226109259,0.2822689322295725,,0.0878825187683105,0.0735877156257629,0.0950203239917755,0.0976256728172302,0.1058901101350784,0.1810124963521957,0.1011512726545333
mnist,conv3,2,4.50.5,1.0,0.0.0.0,4,0.257667386617238,0.2693892978658537,,0.0950161144137382,0.0798151344060897,0.1001980304718017,0.1125419363379478,0.1183696016669273,0.1725462675094604,0.0719565078616142
mnist,conv3,2,4.15.22,1.0,0.0.0.0,0,0.2510857570533774,0.2585971002260246,,0.0958087444305419,0.058344192802906,0.118941031396389,0.1025689467787742,0.1282822340726852,0.2022098451852798,0.0566079281270504
