dataset,arch_id,arch_flag,exp,beta,reg,seed,min_val_elbo_bpd,final_val_elbo_bpd,ood_val_elbo_bpd,obs,scaled,shear,shift,swel,thic,thin
mnist,conv3,2,2.15.5,1.0,0.0.0.0,0,0.2282310212293547,0.2439666217087298,,0.0889497548341751,0.0614503771066665,0.1074501499533653,0.0975633859634399,0.1135511025786399,0.1623096913099289,0.0664007067680358
mnist,conv3,2,2.15.5,1.0,0.0.0.0,1,0.2452992907375255,0.265112384129928,,0.1036842465400695,0.0605695359408855,0.1300775110721588,0.1244006976485252,0.1334784179925918,0.1839524060487747,0.0552933476865291
mnist,conv3,2,2.15.5,1.0,0.0.0.0,2,0.2429674605199559,0.2591001514768719,,0.079670637845993,0.0709104314446449,0.1036150380969047,0.1022030785679817,0.1038588806986808,0.1612060815095901,0.0790174081921577
mnist,conv3,2,2.15.5,1.0,0.0.0.0,3,0.2428948563884051,0.2719144532393714,,0.1084931343793869,0.0570841580629348,0.1228296309709549,0.1163797006011009,0.1366459727287292,0.1850213855504989,0.0584123432636261
mnist,conv3,2,2.15.5,1.0,0.0.0.0,4,0.2498898994903719,0.2541650227355619,,0.1123462989926338,0.0581107027828693,0.1332765072584152,0.1233387514948844,0.1418533325195312,0.1975942999124527,0.0596731640398502
mnist,conv3,2,2.15.5,1.0,1.0.0.0,0,0.2327777955954879,0.2493008196166595,,0.0849193707108497,0.073955051600933,0.1117065399885177,0.0972089096903801,0.1135046631097793,0.1617474257946014,0.0802517831325531
mnist,conv3,2,2.15.5,1.0,1.0.0.0,1,0.2495625329987099,0.262492602891157,,0.0938864797353744,0.0751097872853279,0.1250325441360473,0.1194948330521583,0.1247582957148552,0.1797514408826828,0.0693280100822448
mnist,conv3,2,2.15.5,1.0,1.0.0.0,2,0.2390283713135707,0.2577368280191062,,0.0784395039081573,0.0651759877800941,0.1046177223324775,0.0988454595208168,0.1125464513897895,0.1683526635169983,0.0866244435310363
mnist,conv3,2,2.15.5,1.0,1.0.0.0,3,0.2438250839716271,0.2670568753383033,,0.0992298349738121,0.0672119557857513,0.1195987686514854,0.1349919438362121,0.1293262690305709,0.1992427706718444,0.0649435520172119
mnist,conv3,2,2.15.5,1.0,1.0.0.0,4,0.2499235056978349,0.2574596730038556,,0.1047979518771171,0.0622847750782966,0.1302214562892913,0.1082586720585823,0.1289224028587341,0.2040668129920959,0.0601857081055641
mnist,conv3,2,2.15.5,1.0,10.0.0.0,0,0.2294986565240802,0.2520576002088756,,0.0985141098499298,0.0713538378477096,0.1118039861321449,0.114533357322216,0.121498055756092,0.222018763422966,0.0732565745711326
mnist,conv3,2,2.15.5,1.0,10.0.0.0,1,0.2382029583645134,0.2499486878234158,,0.0895728841423988,0.0750075727701187,0.1249453350901603,0.1181788071990013,0.1313455551862716,0.2217121869325637,0.0672687739133834
mnist,conv3,2,2.15.5,1.0,10.0.0.0,2,0.2350063873798095,0.2503942636348246,,0.0791340395808219,0.0752709209918975,0.1013740599155426,0.1035289540886879,0.1257127076387405,0.1644408702850341,0.0823012813925743
mnist,conv3,2,2.15.5,1.0,10.0.0.0,3,0.237684138236243,0.2639419376394387,,0.0778615474700927,0.0851545855402946,0.0937607809901237,0.1103421077132225,0.1157862767577171,0.2120642066001892,0.1155226603150367
mnist,conv3,2,2.15.5,1.0,10.0.0.0,4,0.2357068818289662,0.2480259719434006,,0.1099398583173751,0.0705554112792015,0.1409936845302581,0.1356476992368698,0.1585482507944107,0.2583520114421844,0.0695105418562889
mnist,conv3,2,2.15.5,1.0,100.0.0.0,0,0.2333750755013124,0.247366747447104,,0.1066825538873672,0.1084675416350364,0.1209030672907829,0.1232657581567764,0.1403798311948776,0.2344860136508941,0.1055677160620689
mnist,conv3,2,2.15.5,1.0,100.0.0.0,1,0.2330759920569832,0.2423964026882934,,0.096209280192852,0.1187199279665947,0.1174525842070579,0.1169852539896965,0.1359938234090805,0.2231589704751968,0.0822848752140998
mnist,conv3,2,2.15.5,1.0,100.0.0.0,2,0.2299948096400816,0.2531331012781581,,0.0738086327910423,0.1203042864799499,0.110063761472702,0.1070393323898315,0.1151124611496925,0.2080779671669006,0.1316483616828918
mnist,conv3,2,2.15.5,1.0,100.0.0.0,3,0.2271384737718908,0.2454544712794332,,0.0831950232386589,0.1386464834213256,0.1003312170505523,0.1098964586853981,0.1099684089422226,0.2254150062799453,0.116247721016407
mnist,conv3,2,2.15.5,1.0,100.0.0.0,4,0.2292443177636759,0.2495060504232505,,0.100078172981739,0.1053960099816322,0.1142277270555496,0.1098731979727745,0.1347623914480209,0.2069914638996124,0.1168020591139793
