dataset,arch_id,arch_flag,exp,beta,reg,seed,min_val_elbo_bpd,final_val_elbo_bpd,ood_val_elbo_bpd,obs,scaled,shear,shift,swel,thic,thin
mnist,conv3,2,2.15.5,1.0,0.0.0.0,0,0.2282310212293547,0.2439666217087298,,0.0889497548341751,0.0614503771066665,0.1074501499533653,0.0975633859634399,0.1135511025786399,0.1623096913099289,0.0664007067680358
mnist,conv3,2,2.15.5,1.0,0.0.0.0,1,0.2452992907375255,0.265112384129928,,0.1036842465400695,0.0605695359408855,0.1300775110721588,0.1244006976485252,0.1334784179925918,0.1839524060487747,0.0552933476865291
mnist,conv3,2,2.15.5,1.0,0.0.0.0,2,0.2429674605199559,0.2591001514768719,,0.079670637845993,0.0709104314446449,0.1036150380969047,0.1022030785679817,0.1038588806986808,0.1612060815095901,0.0790174081921577
mnist,conv3,2,2.15.5,1.0,0.0.0.0,3,0.2428948563884051,0.2719144532393714,,0.1084931343793869,0.0570841580629348,0.1228296309709549,0.1163797006011009,0.1366459727287292,0.1850213855504989,0.0584123432636261
mnist,conv3,2,2.15.5,1.0,0.0.0.0,4,0.2498898994903719,0.2541650227355619,,0.1123462989926338,0.0581107027828693,0.1332765072584152,0.1233387514948844,0.1418533325195312,0.1975942999124527,0.0596731640398502
mnist,conv3,2,2.15.5,1.0,0.1.0.0,0,0.2317609548835609,0.2501946383584577,,0.0880496352910995,0.0618564076721668,0.1090480387210846,0.0996547266840934,0.1114504486322403,0.172445923089981,0.0726529359817504
mnist,conv3,2,2.15.5,1.0,0.1.0.0,1,0.2478707364019715,0.2623628283361495,,0.107599176466465,0.0530121698975563,0.1424437761306762,0.1343691349029541,0.1405936330556869,0.2324053943157196,0.0515971519052982
mnist,conv3,2,2.15.5,1.0,0.1.0.0,2,0.2360822649578303,0.2512380983777423,,0.0820708572864532,0.0783097669482231,0.1165040507912635,0.1002249419689178,0.1047046557068824,0.1650551259517669,0.0801412835717201
mnist,conv3,2,2.15.5,1.0,0.1.0.0,3,0.2425502790944488,0.2477175955943584,,0.0761872082948684,0.0806227475404739,0.1025580093264579,0.1076425164937973,0.1017084568738937,0.1529769450426101,0.0965660586953163
mnist,conv3,2,2.15.5,1.0,0.1.0.0,4,0.2503107039778285,0.2596519147063707,,0.0995826050639152,0.0663870945572853,0.1222919002175331,0.1122533604502677,0.145186498761177,0.2056260854005813,0.0609595589339733
mnist,conv3,2,2.15.5,1.0,0.10.0.0,0,0.2324636922828201,0.2514854606715753,,0.092052936553955,0.0681395083665847,0.1093232780694961,0.1037650033831596,0.1231434121727943,0.2063402831554412,0.0731513053178787
mnist,conv3,2,2.15.5,1.0,0.10.0.0,1,0.2520639591716768,0.26528129671812,,0.1106790602207183,0.0549776703119277,0.1388508677482605,0.1312025040388107,0.1444810181856155,0.1935934424400329,0.0539625287055969
mnist,conv3,2,2.15.5,1.0,0.10.0.0,2,0.2418628929944074,0.2425073569938634,,0.0907801389694213,0.0691015422344207,0.1300340294837951,0.1217681840062141,0.1194674000144004,0.1664631962776184,0.0641381964087486
mnist,conv3,2,2.15.5,1.0,0.10.0.0,3,0.2382277229921076,0.2594323994517195,,0.1014900878071785,0.0539057329297065,0.1284109503030777,0.1342256367206573,0.1320828050374984,0.2146531790494918,0.060047760605812
mnist,conv3,2,2.15.5,1.0,0.10.0.0,4,0.2444368524428258,0.2571506391537069,,0.112991452217102,0.0609470307826995,0.1271883100271225,0.1161189377307891,0.1450069099664688,0.2267287075519561,0.0584058463573455
mnist,conv3,2,2.15.5,1.0,0.100.0.0,0,0.2294413553223713,0.2488779613451624,,0.0802723467350006,0.0733274444937706,0.1039827466011047,0.1053240597248077,0.1203417479991912,0.1873005479574203,0.0744346156716346
mnist,conv3,2,2.15.5,1.0,0.100.0.0,1,0.2460521643119577,0.2539375139879555,,0.0946381688117981,0.0764975473284721,0.1270773708820343,0.1187771558761596,0.1197927072644233,0.1675365716218948,0.0655611306428909
mnist,conv3,2,2.15.5,1.0,0.100.0.0,2,0.2371780371311717,0.2499683743872555,,0.0776154622435569,0.0670631751418113,0.1057773604989051,0.1038996502757072,0.1092006340622901,0.1753010600805282,0.0637683793902397
mnist,conv3,2,2.15.5,1.0,0.100.0.0,3,0.2355465898561128,0.2566765520559925,,0.0804395526647567,0.0851916894316673,0.0958576574921608,0.098611794412136,0.1043141558766365,0.1861668676137924,0.0954383760690689
mnist,conv3,2,2.15.5,1.0,0.100.0.0,4,0.2403695906554969,0.2550537499304845,,0.0978070124983787,0.063154250383377,0.1233081668615341,0.1112105846405029,0.1233019158244133,0.1994728595018386,0.0724490731954574
