dataset,arch_id,arch_flag,exp,beta,reg,seed,min_val_elbo_bpd,final_val_elbo_bpd,ood_val_elbo_bpd,obs,quad1,quad2,quad3,quad4,size,orientation,quad1_quad2,quad1_quad3,quad1_quad4,quad1_orientation,quad1_size,quad2_quad3,quad2_quad4,quad2_size,quad2_orientation
quad,simple64bn,0,2.32.8,1.0,0.0.0.0,0,0.442758016903737,0.4437828754622886,3.8474884170647057,0.0730956047773361,0.2489123344421386,0.2728686034679413,0.2873140871524811,0.2087473720312118,0.15023173391819,0.0659097656607627,0.3052541017532348,0.2875379621982574,0.3613277375698089,0.2598467469215393,0.2510925531387329,0.3301874101161957,0.3208315372467041,0.2349116802215576,0.2348909080028534
quad,simple64bn,0,2.32.8,1.0,0.0.0.0,1,0.4420932792843745,0.4430885676504194,2.262893247073248,0.0661837756633758,0.2213484644889831,0.2613947987556457,0.2588469386100769,0.2556570470333099,0.1881452947854995,0.0626196414232254,0.3202047944068908,0.3506507277488708,0.3928959965705871,0.260473221540451,0.2756839096546173,0.3718540668487549,0.3067691326141357,0.2343376129865646,0.1898217052221298
quad,simple64bn,0,2.32.8,1.0,0.0.0.0,2,0.4418635216990216,0.4428497513031562,3.524213195002334,0.0586106777191162,0.2339788973331451,0.2176313698291778,0.2628129720687866,0.2459562569856643,0.1647439002990722,0.0656478106975555,0.2769728600978851,0.3355677127838135,0.3490278720855713,0.2484118491411209,0.2428449541330337,0.3747304677963257,0.3371775150299072,0.2605747282505035,0.2411358952522277
quad,simple64bn,0,2.32.8,1.0,0.0.0.0,3,0.4433082824120646,0.4450195462484715,3.2644374908059666,0.0509420707821846,0.2305318564176559,0.2160502225160598,0.2380236089229583,0.2197277545928955,0.1398185193538665,0.0494298040866851,0.3261552453041076,0.3165628015995025,0.2901560068130493,0.2099153101444244,0.2510857880115509,0.3299307525157928,0.2625810205936432,0.2750023007392883,0.2470510751008987
quad,simple64bn,0,2.32.8,1.0,0.0.0.0,4,0.4432673548980531,0.4434882444617209,2.5771003485881194,0.0581990219652652,0.2326939851045608,0.2010339498519897,0.2068881243467331,0.203210636973381,0.1403988599777221,0.0576911643147468,0.3257225751876831,0.3245002031326294,0.338452011346817,0.2030648440122604,0.3070152401924133,0.283741146326065,0.2831684350967407,0.2362723350524902,0.2113350927829742
quad,simple64bn,1,2.32.8,1.0,0.0.0.0,0,0.4444852789594303,0.4469921615383668,0.5187631185849978,0.0862277746200561,0.1934448331594467,0.2030877918004989,0.1926724314689636,0.2185126394033432,0.1205443143844604,0.0906417518854141,0.3143016397953033,0.2496778517961502,0.3144801557064056,0.1879823058843612,0.2230173498392105,0.2552103698253631,0.270219475030899,0.1919340640306472,0.2269481271505355
quad,simple64bn,1,2.32.8,1.0,0.0.0.0,1,0.4446463011199191,0.4528102084440312,0.4853464766641617,0.096188873052597,0.186979740858078,0.240133598446846,0.1918815821409225,0.2317869365215301,0.1216553449630737,0.0909060835838317,0.276419997215271,0.2716687023639679,0.2504341602325439,0.1721181720495224,0.2194634228944778,0.2657420039176941,0.3364934027194977,0.2108051776885986,0.2423259913921356
quad,simple64bn,1,2.32.8,1.0,0.0.0.0,2,0.4428506143153741,0.4434217809506058,0.4755401202601969,0.0865304470062255,0.1909414678812027,0.1780512332916259,0.2309315204620361,0.2437518090009689,0.1196257844567298,0.0851946622133255,0.2274664789438247,0.2735414803028106,0.2764546871185303,0.1755497902631759,0.194954976439476,0.3342859745025635,0.312631756067276,0.2005214542150497,0.2093945294618606
quad,simple64bn,1,2.32.8,1.0,0.0.0.0,3,0.4431259616187138,0.443506347538999,0.4673917154113794,0.1144319847226142,0.177590399980545,0.1860488355159759,0.2081953883171081,0.2127915471792221,0.124791719019413,0.1231510490179061,0.2727786600589752,0.2915530502796173,0.2288643568754196,0.1736095547676086,0.2171887755393982,0.2965180873870849,0.2599473893642425,0.1926083415746688,0.2019422501325607
quad,simple64bn,1,2.32.8,1.0,0.0.0.0,4,0.4431625240558051,0.4437286214811098,0.48587759384496,0.1187418177723884,0.255871832370758,0.1751087754964828,0.2258153557777404,0.2293649613857269,0.1229677721858024,0.1298060715198516,0.2910425961017608,0.2764544486999511,0.3132926821708679,0.2595859467983246,0.2759627401828766,0.2652361690998077,0.2741063237190246,0.1870038211345672,0.1869083493947982
