dataset,arch_id,arch_flag,exp,beta,reg,seed,min_val_elbo_bpd,final_val_elbo_bpd,ood_val_elbo_bpd,obs,quad1,quad2,quad3,quad4,size,orientation,quad1_quad2,quad1_quad3,quad1_quad4,quad1_orientation,quad1_size,quad2_quad3,quad2_quad4,quad2_size,quad2_orientation
quad,simple64bn,2,2.16.8,1.0,0.0.0.0,0,0.477672193365754,0.4823490027368198,0.5806859986115348,0.0518749766051769,0.0517415218055248,0.0616932325065135,0.0589198656380176,0.0526796095073223,0.0676106512546539,0.0571554489433765,0.0500091165304183,0.0564644895493984,0.0544395260512828,0.0552490837872028,0.0955409333109855,0.057056974619627,0.0494815185666084,0.0699172541499137,0.0507194772362709
quad,simple64bn,2,2.16.8,1.0,0.0.0.0,1,0.5027958687138561,0.5339108587121631,0.6958468118816276,0.0631197020411491,0.0622550435364246,0.0580979585647583,0.086335189640522,0.0642431080341339,0.0639884993433952,0.0603861287236213,0.0853207930922508,0.1214257776737213,0.0889979600906372,0.0621296875178813,0.1015577614307403,0.1318431794643402,0.0885037556290626,0.1021539941430091,0.0613738670945167
quad,simple64bn,2,2.16.8,1.0,0.0.0.0,2,0.4763685396742986,0.4900224511296144,0.5772819247785711,0.0659935176372528,0.0719613879919052,0.0705855041742324,0.0748671740293502,0.0866989865899086,0.0875452905893325,0.0706870928406715,0.0748258456587791,0.0670417919754982,0.0681842267513275,0.0731267109513282,0.0756856575608253,0.0800942406058311,0.0989815220236778,0.0972490683197975,0.077594555914402
quad,simple64bn,2,2.16.8,1.0,0.0.0.0,3,0.470325087051934,0.4749198638957777,0.5510841886637966,0.0516329854726791,0.0576045960187912,0.0528265759348869,0.0554482154548168,0.0603552125394344,0.0905812084674835,0.0521457158029079,0.0577379763126373,0.0535108484327793,0.0606454350054264,0.0576126389205455,0.0904105007648468,0.0537555813789367,0.0620163455605506,0.0904191732406616,0.0555326007306575
quad,simple64bn,2,2.16.8,1.0,0.0.0.0,4,0.4796042702613939,0.4893900646982579,0.5831875604219108,0.0480285994708538,0.0518839061260223,0.0564079135656356,0.0476149022579193,0.0520653575658798,0.0700764134526252,0.0519255809485912,0.059786707162857,0.0752852410078048,0.0492450445890426,0.0532742515206337,0.105759359896183,0.0561021380126476,0.0538262985646724,0.0741388946771621,0.0571738593280315
quad,simple64bn,2,2.16.16,1.0,0.0.0.0,0,0.4743663775880887,0.4898767306160899,0.6397965195100737,0.0714291259646415,0.0664874836802482,0.0777784287929534,0.0688176602125167,0.0834542885422706,0.0969993323087692,0.0839309692382812,0.0895628556609153,0.085651658475399,0.1589410603046417,0.0651982650160789,0.0900776758790016,0.1240836083889007,0.0824064016342163,0.0969322919845581,0.0854707062244415
quad,simple64bn,2,2.16.16,1.0,0.0.0.0,1,0.4656827096034323,0.4761030241834193,0.7604286927786573,0.0516180880367755,0.0642985925078392,0.0610638409852981,0.0643079057335853,0.0661268755793571,0.0686303526163101,0.0582184232771396,0.0889220610260963,0.0667889341711998,0.0615724474191665,0.0614185854792594,0.0751786679029464,0.0618654415011405,0.1122326776385307,0.1517561674118042,0.0579970367252826
quad,simple64bn,2,2.16.16,1.0,0.0.0.0,2,0.4665780738610512,0.4694646264669284,0.6589073450407332,0.0442123599350452,0.0466259457170963,0.0466816425323486,0.0483307614922523,0.0443068034946918,0.0525764189660549,0.0504514016211032,0.0817461237311363,0.0418123751878738,0.053516685962677,0.0442685894668102,0.0688513219356536,0.0453487075865268,0.0552915185689926,0.0906995013356208,0.0475577861070632
quad,simple64bn,2,2.16.16,1.0,0.0.0.0,3,0.4746600275668572,0.4846927793676077,0.6932657758634174,0.0588411577045917,0.0623026341199874,0.0706692859530448,0.0606515519320964,0.0584942959249019,0.0794591382145881,0.06018752977252,0.065590001642704,0.0740415975451469,0.0657215788960456,0.0691598281264305,0.1095160767436027,0.1252529174089431,0.0827875360846519,0.0946097448468208,0.062647134065628
quad,simple64bn,2,2.16.16,1.0,0.0.0.0,4,0.5116673695718581,0.5489223272837811,0.629234815352709,0.0493251904845237,0.0474872402846813,0.0505057387053966,0.048989899456501,0.0463614389300346,0.0612014308571815,0.0545699074864387,0.129044309258461,0.0523620396852493,0.0694233477115631,0.0551236048340797,0.0752709060907363,0.0569144897162914,0.0614913180470466,0.0673207864165306,0.0579905770719051
quad,simple64bn,2,2.16.32,1.0,0.0.0.0,0,0.4976116165448728,0.5059973875423873,0.7376299000222171,0.0565355643630027,0.0609912760555744,0.0520196035504341,0.0612827278673648,0.0715990513563156,0.0917555838823318,0.057642251253128,0.0759353786706924,0.0698770657181739,0.0652301311492919,0.0689022317528724,0.1178469583392143,0.1360672712326049,0.0675418749451637,0.1239066272974014,0.0633164644241333
quad,simple64bn,2,2.16.32,1.0,0.0.0.0,1,0.485403272902439,0.4975292498144117,0.6209665350759395,0.0620320849120616,0.0705040171742439,0.0580260157585144,0.0575704500079155,0.0614329986274242,0.0797060430049896,0.0568830594420433,0.0896625071763992,0.0761169865727424,0.0650388449430465,0.0652028396725654,0.1129102706909179,0.0715860575437545,0.0573277845978736,0.0895126014947891,0.0627453029155731
quad,simple64bn,2,2.16.32,1.0,0.0.0.0,2,0.4633080543885435,0.4711797839577923,0.6812741062591969,0.0520193874835968,0.0542372651398181,0.0534418858587741,0.0505408607423305,0.0555209666490554,0.0511706620454788,0.0515979751944541,0.0973015874624252,0.0806765928864479,0.0664172172546386,0.059477861970663,0.0648969709873199,0.0616470240056514,0.1018637120723724,0.0630656778812408,0.0542732998728752
quad,simple64bn,2,2.16.32,1.0,0.0.0.0,3,0.5042889378597344,0.5351202789750754,0.6006366543502772,0.051265213638544,0.0444132275879383,0.0409070439636707,0.0469401143491268,0.0561217740178108,0.0624006204307079,0.0512402690947055,0.0531492456793785,0.1056075319647789,0.0584712922573089,0.0479374006390571,0.0935884490609169,0.0604125522077083,0.0721447244286537,0.0693375915288925,0.0460469610989093
quad,simple64bn,2,2.16.32,1.0,0.0.0.0,4,0.4674154506267272,0.4737440927428166,0.6847062682982391,0.0566510334610939,0.0725110918283462,0.0610577650368213,0.0743557959794998,0.0714878365397453,0.0727334022521972,0.0582747943699359,0.115564651787281,0.0804977715015411,0.0918188095092773,0.0828764662146568,0.099760890007019,0.0692641735076904,0.0700478106737136,0.0813409313559532,0.0576191022992134
quad,simple64bn,2,2.32.8,1.0,0.0.0.0,0,0.5438261290658334,0.5987718232085767,0.6550005779522046,0.0608287043869495,0.069731019437313,0.0785569846630096,0.0697388872504234,0.0699560269713401,0.0921957045793533,0.0499369725584983,0.0866380259394645,0.0796280205249786,0.0679764524102211,0.0599032826721668,0.0917178764939308,0.0915942266583442,0.0839519128203392,0.111891396343708,0.0735005140304565
quad,simple64bn,2,2.32.8,1.0,0.0.0.0,1,0.4815597813885577,0.5013246165598255,0.9491134311066848,0.0521622933447361,0.053043745458126,0.0552166067063808,0.0580727569758892,0.0507123917341232,0.0594636611640453,0.0531202033162117,0.0626250654458999,0.050705187022686,0.219847172498703,0.0558187440037727,0.1417793482542038,0.056135531514883,0.0595983564853668,0.0849311202764511,0.0549377538263797
quad,simple64bn,2,2.32.8,1.0,0.0.0.0,2,0.4703974202555782,0.478600252462198,0.8092650934145832,0.0603025294840335,0.0608046539127826,0.0505527146160602,0.0579740591347217,0.0601723007857799,0.0641528218984603,0.0646726712584495,0.2120877057313919,0.0570725537836551,0.0642156898975372,0.0547072924673557,0.0860743969678878,0.0542313009500503,0.0684003084897995,0.1195391789078712,0.0567213669419288
quad,simple64bn,2,2.32.8,1.0,0.0.0.0,3,0.5063135213339648,0.5339740919566814,0.5935025292752376,0.0587311871349811,0.068264402449131,0.068254642188549,0.0644457712769508,0.0897775515913963,0.0918292701244354,0.0651610642671585,0.074119359254837,0.1411054730415344,0.0675281137228012,0.0711094215512275,0.0971372127532959,0.0745250657200813,0.0666387379169464,0.099608190357685,0.0718248784542083
quad,simple64bn,2,2.32.8,1.0,0.0.0.0,4,0.4694131245619562,0.4819933298127747,0.5938856213339234,0.0457786545157432,0.0587725453078746,0.0539329126477241,0.0624343045055866,0.0523132607340812,0.0649198070168495,0.0526545941829681,0.0628007724881172,0.0625790432095527,0.0480793640017509,0.0567323565483093,0.0902793705463409,0.0579491294920444,0.0608662478625774,0.07879189401865,0.0595856942236423
quad,simple64bn,2,2.32.16,1.0,0.0.0.0,0,0.4567462365433809,0.4597448218845797,0.607315728496598,0.0467475056648254,0.04945719987154,0.0506745539605617,0.0500842370092868,0.0457658842206001,0.0731625109910965,0.045534286648035,0.0472021251916885,0.0434909015893936,0.0510795377194881,0.0523499399423599,0.1489320695400238,0.0493246763944625,0.0461897403001785,0.0866927579045295,0.0484814681112766
